product_id,product_name,price,stock,category
1,Nepal ORS Packet (Premium),4430.53,352,Pharmacy
2,Nepal Power Bank (Standard),132039.78,137,Electronics
3,Goldstar Mouse (Small),139207.5,236,Electronics
4,Himalayan Ruler (Medium),1598.51,467,Stationery
5,Himalayan Paper Clip (Large),736.19,399,Stationery
6,Nepal Face Mask (Budget),119.35,163,Pharmacy
7,Nepal Pen (Standard),1852.75,130,Stationery
8,Everest Cetrizine (Budget),3938.66,499,Pharmacy
9,Himalayan School Uniform (Medium),6394.28,6,Clothing
10,Mobile Phone (Standard),145222.55,476,Electronics
11,Everest Scarf (Small),1216.03,376,Clothing
12,Goldstar Biscuit (Standard),3015.04,2,Grocery
13,Nepal Pencil (Budget),765.38,36,Stationery
14,Nepal Oil (Sunflower) (Budget),2367.7,11,Grocery
15,Goldstar Jeans (Small),5909.59,332,Clothing
16,Goldstar Sugar (Budget),3131.83,109,Grocery
17,Himalayan Amoxicillin (Large),596.11,203,Pharmacy
18,Nepal Brush,6674.48,470,Hardware
19,Himalayan Eraser (Medium),1679.63,43,Stationery
20,CG Iron Supplement (Standard),2094.55,424,Pharmacy
21,Everest Brush (Medium),905.35,114,Hardware
22,Shoes,6851.87,404,Clothing
23,Himalayan Ghee (Large),3092.99,448,Grocery
24,Detergent (Large),1536.89,251,Grocery
25,Yeti Pain Relief Balm (Premium),4603.49,337,Pharmacy
26,Nepal Noodles (Budget),2892.17,0,Grocery
27,Folder (Small),1855.64,176,Stationery
28,Everest Pencil (Large),1551.18,186,Stationery
29,Nepal Thermometer (Small),784.71,5,Pharmacy
30,Himalayan Switch Board (Budget),18315.65,389,Hardware
31,Nepal Jacket,2182.44,252,Clothing
32,CG Ibuprofen (Budget),1945.55,181,Pharmacy
33,Nepal T-Shirt (Standard),1739.59,158,Clothing
34,CG Thermometer (Large),2598.7,225,Pharmacy
35,CG Shawl (Budget),9101.17,276,Clothing
36,Himalayan Ibuprofen (Large),4826.39,426,Pharmacy
37,Yeti Jacket (Budget),3948.43,276,Clothing
38,Himalayan Hard Drive (Large),79946.82,367,Electronics
39,CG Stamp Pad (Small),1129.97,39,Stationery
40,Goldstar Stapler (Small),818.37,433,Stationery
41,Goldstar Hard Drive (Large),99858.93,184,Electronics
42,School Uniform (Premium),6013.23,107,Clothing
43,Himalayan Shirt (Standard),11276.01,228,Clothing
44,Everest Paper Clip (Budget),196.18,417,Stationery
45,Nepal Sports Wear (Standard),3094.39,486,Clothing
46,Nepal Marker (Standard),1746.5,365,Stationery
47,Himalayan ORS Packet (Small),3773.99,267,Pharmacy
48,Everest Pencil (Small),1015.26,341,Stationery
49,Yeti Blood Pressure Monitor (Budget),2638.06,350,Pharmacy
50,Goldstar Notebook (Medium),1751.53,16,Stationery
51,Goldstar Kurta (Budget),4725.12,147,Clothing
52,Everest Spice (Chili) (Large),3057.7,216,Grocery
